movie_id,movie_name,year,certificate,runtime,rating,description,director,actor,votes,gross_usd,genre
tt1825683,Black Panther,2018,PG-13,134,7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,"Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira",785813,700059566.0,"Action, Adventure, Sci-Fi"
tt0092099,Top Gun,1986,PG,109,6.9,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Tony Scott,"Tom Cruise, 
Tim Robbins, 
Kelly McGillis, 
Val Kilmer",461419,179800601.0,"Action, Drama"
tt0499549,Avatar,2009,PG-13,162,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez",1322694,760507625.0,"Action, Adventure, Fantasy"
tt1392170,The Hunger Games,2012,PG-13,142,7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci",927499,408010692.0,"Action, Adventure, Sci-Fi"
tt1160419,Dune,2021,PG-13,155,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac",649342,108327830.0,"Action, Adventure, Drama"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean",1889727,315544750.0,"Action, Adventure, Drama"
tt0468569,The Dark Knight,2008,PG-13,152,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine",2675531,534858444.0,"Action, Crime, Drama"
tt1375666,Inception,2010,PG-13,148,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe",2373682,292576195.0,"Action, Adventure, Sci-Fi"
tt10872600,Spider-Man: No Way Home,2021,PG-13,148,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon",770492,804747988.0,"Action, Adventure, Fantasy"
tt0172495,Gladiator,2000,R,155,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed",1512747,187705427.0,"Action, Adventure, Drama"
